PTS_HOME,PTS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY,GAME_DATE
101,75,Atlanta Hawks,Toronto Raptors,1996-12-07
97,89,Toronto Raptors,Chicago Bulls,1996-12-08
91,101,Toronto Raptors,Golden State Warriors,1996-12-10
115,113,Boston Celtics,Toronto Raptors,1996-12-11
89,88,Miami Heat,Toronto Raptors,1996-12-14
92,98,Toronto Raptors,Detroit Pistons,1996-12-16
88,97,New Jersey Nets,Toronto Raptors,1996-12-17
96,93,Toronto Raptors,Milwaukee Bucks,1996-12-19
91,82,Cleveland Cavaliers,Toronto Raptors,1996-12-20
111,92,Indiana Pacers,Toronto Raptors,1996-12-22
98,96,Toronto Raptors,New Jersey Nets,1996-12-26
100,82,Washington Bullets,Toronto Raptors,1996-12-27
96,94,Orlando Magic,Toronto Raptors,1997-01-02
118,74,Detroit Pistons,Toronto Raptors,1997-01-04
80,87,Toronto Raptors,Los Angeles Clippers,1997-01-07
110,96,Toronto Raptors,Utah Jazz,1997-01-09
106,123,New Jersey Nets,Toronto Raptors,1997-01-11
85,88,Toronto Raptors,Orlando Magic,1997-01-12
122,78,Seattle SuperSonics,Toronto Raptors,1997-01-15
92,94,Portland Trail Blazers,Toronto Raptors,1997-01-17
100,92,Vancouver Grizzlies,Toronto Raptors,1997-01-19
118,106,Toronto Raptors,Minnesota Timberwolves,1997-01-21
87,99,Toronto Raptors,Miami Heat,1997-01-23
110,98,Chicago Bulls,Toronto Raptors,1997-01-25
120,84,Toronto Raptors,Portland Trail Blazers,1997-01-28
101,99,Philadelphia 76ers,Toronto Raptors,1997-01-29
110,86,Toronto Raptors,Phoenix Suns,1997-02-01
102,114,Toronto Raptors,Boston Celtics,1997-02-03
89,84,Toronto Raptors,Cleveland Cavaliers,1997-02-05
101,96,Milwaukee Bucks,Toronto Raptors,1997-02-11
106,84,Atlanta Hawks,Toronto Raptors,1997-02-12
102,106,Toronto Raptors,Milwaukee Bucks,1997-02-14
89,92,Toronto Raptors,Detroit Pistons,1997-02-16
105,103,Indiana Pacers,Toronto Raptors,1997-02-17
92,125,San Antonio Spurs,Toronto Raptors,1997-02-19
107,97,Houston Rockets,Toronto Raptors,1997-02-20
92,99,Dallas Mavericks,Toronto Raptors,1997-02-22
122,124,Denver Nuggets,Toronto Raptors,1997-02-25
118,114,Utah Jazz,Toronto Raptors,1997-02-27
94,92,Los Angeles Clippers,Toronto Raptors,1997-02-28
103,107,Toronto Raptors,Boston Celtics,1997-03-03
