PTS_HOME,PTS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY,GAME_DATE
110,99,Golden State Warriors,Toronto Raptors,2006-11-14
107,100,Los Angeles Lakers,Toronto Raptors,2006-11-17
117,109,Denver Nuggets,Toronto Raptors,2006-11-18
101,96,Utah Jazz,Toronto Raptors,2006-11-20
95,87,Toronto Raptors,Cleveland Cavaliers,2006-11-22
97,93,Atlanta Hawks,Toronto Raptors,2006-11-24
92,83,Toronto Raptors,Indiana Pacers,2006-11-26
77,94,New Orleans/Oklahoma City Hornets,Toronto Raptors,2006-11-28
117,98,Dallas Mavericks,Toronto Raptors,2006-11-29
106,102,Toronto Raptors,Boston Celtics,2006-12-01
100,103,New York Knicks,Toronto Raptors,2006-12-02
95,91,Cleveland Cavaliers,Toronto Raptors,2006-12-06
93,90,Chicago Bulls,Toronto Raptors,2006-12-08
83,93,Toronto Raptors,Portland Trail Blazers,2006-12-10
99,77,Miami Heat,Toronto Raptors,2006-12-11
84,91,Orlando Magic,Toronto Raptors,2006-12-13
90,78,Toronto Raptors,New Jersey Nets,2006-12-15
120,115,Toronto Raptors,Golden State Warriors,2006-12-17
115,98,Phoenix Suns,Toronto Raptors,2006-12-19
96,98,Los Angeles Clippers,Toronto Raptors,2006-12-20
100,101,Portland Trail Blazers,Toronto Raptors,2006-12-22
110,97,Seattle SuperSonics,Toronto Raptors,2006-12-23
100,97,Toronto Raptors,Minnesota Timberwolves,2006-12-27
97,107,Toronto Raptors,Chicago Bulls,2006-12-29
110,104,Memphis Grizzlies,Toronto Raptors,2006-12-30
98,100,Toronto Raptors,Phoenix Suns,2007-01-03
105,92,Toronto Raptors,Atlanta Hawks,2007-01-05
116,111,Toronto Raptors,Washington Wizards,2007-01-07
101,86,New Jersey Nets,Toronto Raptors,2007-01-09
77,90,Milwaukee Bucks,Toronto Raptors,2007-01-10
86,95,Boston Celtics,Toronto Raptors,2007-01-12
96,97,Toronto Raptors,Dallas Mavericks,2007-01-14
86,104,Philadelphia 76ers,Toronto Raptors,2007-01-15
101,85,Toronto Raptors,Sacramento Kings,2007-01-17
94,102,Toronto Raptors,Utah Jazz,2007-01-19
105,84,Toronto Raptors,Charlotte Bobcats,2007-01-22
90,88,Toronto Raptors,New Orleans/Oklahoma City Hornets,2007-01-24
96,90,Toronto Raptors,Boston Celtics,2007-01-26
102,84,Indiana Pacers,Toronto Raptors,2007-01-27
119,109,Toronto Raptors,Washington Wizards,2007-01-31
91,103,Atlanta Hawks,Toronto Raptors,2007-02-02
122,110,Toronto Raptors,Los Angeles Clippers,2007-02-04
113,103,Toronto Raptors,Orlando Magic,2007-02-07
96,92,Toronto Raptors,Los Angeles Lakers,2007-02-09
98,92,Detroit Pistons,Toronto Raptors,2007-02-10
111,112,Chicago Bulls,Toronto Raptors,2007-02-13
120,109,Toronto Raptors,New Jersey Nets,2007-02-14
85,86,Toronto Raptors,Cleveland Cavaliers,2007-02-21
110,88,Toronto Raptors,Indiana Pacers,2007-02-23
76,93,Charlotte Bobcats,Toronto Raptors,2007-02-24
107,91,San Antonio Spurs,Toronto Raptors,2007-02-26
90,106,Houston Rockets,Toronto Raptors,2007-02-28
81,94,Toronto Raptors,Milwaukee Bucks,2007-03-02
120,97,Cleveland Cavaliers,Toronto Raptors,2007-03-03
129,109,Washington Wizards,Toronto Raptors,2007-03-06
94,87,Toronto Raptors,Memphis Grizzlies,2007-03-07
120,119,Toronto Raptors,Seattle SuperSonics,2007-03-11
93,108,Milwaukee Bucks,Toronto Raptors,2007-03-12
104,94,Toronto Raptors,New York Knicks,2007-03-14
100,114,Toronto Raptors,Houston Rockets,2007-03-16
92,74,New York Knicks,Toronto Raptors,2007-03-18
92,85,Toronto Raptors,Orlando Magic,2007-03-21
121,94,Toronto Raptors,Denver Nuggets,2007-03-23
95,87,Boston Celtics,Toronto Raptors,2007-03-26
96,83,Toronto Raptors,Miami Heat,2007-03-28
118,123,Washington Wizards,Toronto Raptors,2007-03-30
107,94,Toronto Raptors,Charlotte Bobcats,2007-04-01
92,89,Miami Heat,Toronto Raptors,2007-04-03
108,111,Orlando Magic,Toronto Raptors,2007-04-04
85,94,Philadelphia 76ers,Toronto Raptors,2007-04-06
103,89,Toronto Raptors,Chicago Bulls,2007-04-08
100,111,Minnesota Timberwolves,Toronto Raptors,2007-04-09
87,84,Toronto Raptors,Detroit Pistons,2007-04-13
107,105,Toronto Raptors,New York Knicks,2007-04-15
100,84,Detroit Pistons,Toronto Raptors,2007-04-17
119,122,Toronto Raptors,Philadelphia 76ers,2007-04-18
106,97,Toronto Raptors,Philadelphia 76ers,2007-10-31
69,106,New Jersey Nets,Toronto Raptors,2007-11-02
95,98,Toronto Raptors,Boston Celtics,2007-11-04
112,85,Milwaukee Bucks,Toronto Raptors,2007-11-06
96,105,Toronto Raptors,Orlando Magic,2007-11-07
103,105,Philadelphia 76ers,Toronto Raptors,2007-11-09
71,101,Chicago Bulls,Toronto Raptors,2007-11-10
88,92,Toronto Raptors,Utah Jazz,2007-11-14
110,101,Toronto Raptors,Indiana Pacers,2007-11-16
100,106,Toronto Raptors,Golden State Warriors,2007-11-18
105,99,Dallas Mavericks,Toronto Raptors,2007-11-20
89,95,Memphis Grizzlies,Toronto Raptors,2007-11-21
111,108,Cleveland Cavaliers,Toronto Raptors,2007-11-24
93,78,Toronto Raptors,Chicago Bulls,2007-11-25
103,91,Toronto Raptors,Memphis Grizzlies,2007-11-28
91,82,Toronto Raptors,Cleveland Cavaliers,2007-11-30
101,97,Washington Wizards,Toronto Raptors,2007-12-01
98,79,Toronto Raptors,Charlotte Bobcats,2007-12-03
123,136,Toronto Raptors,Phoenix Suns,2007-12-05
112,84,Boston Celtics,Toronto Raptors,2007-12-07
93,80,Toronto Raptors,Houston Rockets,2007-12-09
88,100,Atlanta Hawks,Toronto Raptors,2007-12-11
92,76,Toronto Raptors,Dallas Mavericks,2007-12-12
93,104,Indiana Pacers,Toronto Raptors,2007-12-14
77,90,Toronto Raptors,Boston Celtics,2007-12-16
77,80,Los Angeles Clippers,Toronto Raptors,2007-12-18
101,96,Portland Trail Blazers,Toronto Raptors,2007-12-19
123,115,Seattle SuperSonics,Toronto Raptors,2007-12-21
122,103,Phoenix Suns,Toronto Raptors,2007-12-22
73,83,San Antonio Spurs,Toronto Raptors,2007-12-28
91,79,Houston Rockets,Toronto Raptors,2007-12-29
92,97,New Orleans Hornets,Toronto Raptors,2007-12-31
85,101,Toronto Raptors,Detroit Pistons,2008-01-04
90,93,Toronto Raptors,Cleveland Cavaliers,2008-01-06
109,96,Toronto Raptors,Philadelphia 76ers,2008-01-09
90,99,New York Knicks,Toronto Raptors,2008-01-11
116,109,Toronto Raptors,Portland Trail Blazers,2008-01-13
103,89,Detroit Pistons,Toronto Raptors,2008-01-15
116,91,Toronto Raptors,Sacramento Kings,2008-01-16
89,78,Toronto Raptors,Atlanta Hawks,2008-01-18
99,95,Philadelphia 76ers,Toronto Raptors,2008-01-19
112,114,Boston Celtics,Toronto Raptors,2008-01-23
106,75,Toronto Raptors,Milwaukee Bucks,2008-01-25
108,104,Washington Wizards,Toronto Raptors,2008-01-29
122,83,Toronto Raptors,Washington Wizards,2008-01-30
101,121,Toronto Raptors,Los Angeles Lakers,2008-02-01
82,114,Miami Heat,Toronto Raptors,2008-02-04
98,102,Toronto Raptors,Los Angeles Clippers,2008-02-08
82,105,Minnesota Timberwolves,Toronto Raptors,2008-02-10
88,93,Toronto Raptors,San Antonio Spurs,2008-02-11
109,91,Toronto Raptors,New Jersey Nets,2008-02-13
127,110,Toronto Raptors,Orlando Magic,2008-02-20
103,99,New York Knicks,Toronto Raptors,2008-02-22
115,92,Toronto Raptors,New York Knicks,2008-02-24
98,102,Indiana Pacers,Toronto Raptors,2008-02-25
107,85,Toronto Raptors,Minnesota Timberwolves,2008-02-27
111,122,Toronto Raptors,Indiana Pacers,2008-02-29
110,98,Charlotte Bobcats,Toronto Raptors,2008-03-02
102,87,Orlando Magic,Toronto Raptors,2008-03-04
83,108,Miami Heat,Toronto Raptors,2008-03-05
106,110,Toronto Raptors,Washington Wizards,2008-03-07
114,106,Toronto Raptors,Seattle SuperSonics,2008-03-09
117,108,Los Angeles Lakers,Toronto Raptors,2008-03-11
117,106,Golden State Warriors,Toronto Raptors,2008-03-12
137,105,Denver Nuggets,Toronto Raptors,2008-03-14
106,100,Sacramento Kings,Toronto Raptors,2008-03-16
96,79,Utah Jazz,Toronto Raptors,2008-03-17
96,54,Toronto Raptors,Miami Heat,2008-03-19
90,83,Cleveland Cavaliers,Toronto Raptors,2008-03-21
100,109,Toronto Raptors,Denver Nuggets,2008-03-23
89,82,Toronto Raptors,Detroit Pistons,2008-03-26
103,95,Toronto Raptors,New York Knicks,2008-03-28
111,118,Toronto Raptors,New Orleans Hornets,2008-03-30
100,104,Charlotte Bobcats,Toronto Raptors,2008-03-31
127,120,Atlanta Hawks,Toronto Raptors,2008-04-02
100,105,Toronto Raptors,Charlotte Bobcats,2008-04-04
99,90,New Jersey Nets,Toronto Raptors,2008-04-05
111,93,Toronto Raptors,Milwaukee Bucks,2008-04-09
113,85,Toronto Raptors,New Jersey Nets,2008-04-11
91,84,Detroit Pistons,Toronto Raptors,2008-04-13
91,75,Toronto Raptors,Miami Heat,2008-04-14
107,97,Chicago Bulls,Toronto Raptors,2008-04-16
84,95,Philadelphia 76ers,Toronto Raptors,2008-10-29
112,108,Toronto Raptors,Golden State Warriors,2008-10-31
87,91,Milwaukee Bucks,Toronto Raptors,2008-11-01
93,100,Toronto Raptors,Detroit Pistons,2008-11-05
110,92,Atlanta Hawks,Toronto Raptors,2008-11-07
79,89,Charlotte Bobcats,Toronto Raptors,2008-11-09
94,87,Boston Celtics,Toronto Raptors,2008-11-10
96,106,Toronto Raptors,Philadelphia 76ers,2008-11-12
107,96,Toronto Raptors,Miami Heat,2008-11-16
103,90,Orlando Magic,Toronto Raptors,2008-11-18
95,101,Miami Heat,Toronto Raptors,2008-11-19
127,129,Toronto Raptors,New Jersey Nets,2008-11-21
103,118,Toronto Raptors,Boston Celtics,2008-11-23
93,86,Toronto Raptors,Charlotte Bobcats,2008-11-26
93,88,Toronto Raptors,Atlanta Hawks,2008-11-28
112,99,Los Angeles Lakers,Toronto Raptors,2008-11-30
132,93,Denver Nuggets,Toronto Raptors,2008-12-02
114,87,Utah Jazz,Toronto Raptors,2008-12-05
97,98,Toronto Raptors,Portland Trail Blazers,2008-12-07
114,94,Cleveland Cavaliers,Toronto Raptors,2008-12-09
101,88,Toronto Raptors,Indiana Pacers,2008-12-10
79,101,New Jersey Nets,Toronto Raptors,2008-12-12
91,99,Toronto Raptors,New Orleans Hornets,2008-12-14
87,94,Toronto Raptors,New Jersey Nets,2008-12-15
86,96,Toronto Raptors,Dallas Mavericks,2008-12-17
91,83,Oklahoma City Thunder,Toronto Raptors,2008-12-19
107,97,San Antonio Spurs,Toronto Raptors,2008-12-20
75,97,Los Angeles Clippers,Toronto Raptors,2008-12-22
101,107,Sacramento Kings,Toronto Raptors,2008-12-26
102,89,Portland Trail Blazers,Toronto Raptors,2008-12-27
117,111,Golden State Warriors,Toronto Raptors,2008-12-29
107,114,Toronto Raptors,Denver Nuggets,2008-12-31
94,73,Toronto Raptors,Houston Rockets,2009-01-02
108,102,Toronto Raptors,Orlando Magic,2009-01-04
107,97,Milwaukee Bucks,Toronto Raptors,2009-01-05
93,99,Washington Wizards,Toronto Raptors,2009-01-07
103,82,Toronto Raptors,Memphis Grizzlies,2009-01-09
88,94,Toronto Raptors,Boston Celtics,2009-01-11
115,109,Boston Celtics,Toronto Raptors,2009-01-12
98,102,Toronto Raptors,Chicago Bulls,2009-01-14
111,104,Indiana Pacers,Toronto Raptors,2009-01-16
113,117,Toronto Raptors,Phoenix Suns,2009-01-18
87,84,Atlanta Hawks,Toronto Raptors,2009-01-19
95,76,Detroit Pistons,Toronto Raptors,2009-01-21
94,114,Chicago Bulls,Toronto Raptors,2009-01-23
113,97,Toronto Raptors,Sacramento Kings,2009-01-25
106,107,New Jersey Nets,Toronto Raptors,2009-01-28
85,96,Toronto Raptors,Milwaukee Bucks,2009-01-30
90,113,Toronto Raptors,Orlando Magic,2009-02-01
101,83,Cleveland Cavaliers,Toronto Raptors,2009-02-03
107,115,Toronto Raptors,Los Angeles Lakers,2009-02-04
101,92,New Orleans Hornets,Toronto Raptors,2009-02-06
78,70,Memphis Grizzlies,Toronto Raptors,2009-02-07
102,110,Minnesota Timberwolves,Toronto Raptors,2009-02-10
91,89,Toronto Raptors,San Antonio Spurs,2009-02-11
76,93,Toronto Raptors,Cleveland Cavaliers,2009-02-18
127,97,New York Knicks,Toronto Raptors,2009-02-20
111,100,Toronto Raptors,New York Knicks,2009-02-22
118,110,Toronto Raptors,Minnesota Timberwolves,2009-02-24
133,113,Phoenix Suns,Toronto Raptors,2009-02-27
109,98,Dallas Mavericks,Toronto Raptors,2009-03-01
107,97,Houston Rockets,Toronto Raptors,2009-03-03
102,108,Toronto Raptors,Miami Heat,2009-03-06
101,109,Toronto Raptors,Utah Jazz,2009-03-08
115,106,Philadelphia 76ers,Toronto Raptors,2009-03-11
95,99,Toronto Raptors,Detroit Pistons,2009-03-13
110,87,Toronto Raptors,Indiana Pacers,2009-03-15
112,86,Charlotte Bobcats,Toronto Raptors,2009-03-16
89,102,Toronto Raptors,Charlotte Bobcats,2009-03-20
100,76,Toronto Raptors,Los Angeles Clippers,2009-03-22
115,106,Toronto Raptors,Milwaukee Bucks,2009-03-25
112,96,Toronto Raptors,Oklahoma City Thunder,2009-03-27
134,129,Toronto Raptors,Chicago Bulls,2009-03-29
95,99,Orlando Magic,Toronto Raptors,2009-04-01
95,102,New York Knicks,Toronto Raptors,2009-04-04
103,112,Toronto Raptors,New York Knicks,2009-04-05
110,118,Toronto Raptors,Atlanta Hawks,2009-04-07
130,101,Indiana Pacers,Toronto Raptors,2009-04-08
98,100,Toronto Raptors,Washington Wizards,2009-04-10
111,104,Toronto Raptors,Philadelphia 76ers,2009-04-12
96,97,Washington Wizards,Toronto Raptors,2009-04-13
98,109,Chicago Bulls,Toronto Raptors,2009-04-15
101,91,Toronto Raptors,Cleveland Cavaliers,2009-10-28
115,107,Memphis Grizzlies,Toronto Raptors,2009-10-30
116,125,Toronto Raptors,Orlando Magic,2009-11-01
110,99,Toronto Raptors,Detroit Pistons,2009-11-04
90,107,New Orleans Hornets,Toronto Raptors,2009-11-06
129,101,Dallas Mavericks,Toronto Raptors,2009-11-07
131,124,San Antonio Spurs,Toronto Raptors,2009-11-09
99,89,Toronto Raptors,Chicago Bulls,2009-11-11
89,104,Los Angeles Clippers,Toronto Raptors,2009-11-13
101,100,Phoenix Suns,Toronto Raptors,2009-11-15
130,112,Denver Nuggets,Toronto Raptors,2009-11-17
104,91,Utah Jazz,Toronto Raptors,2009-11-18
120,113,Toronto Raptors,Miami Heat,2009-11-20
96,104,Toronto Raptors,Orlando Magic,2009-11-22
123,112,Toronto Raptors,Indiana Pacers,2009-11-24
116,81,Charlotte Bobcats,Toronto Raptors,2009-11-25
116,103,Boston Celtics,Toronto Raptors,2009-11-27
94,113,Toronto Raptors,Phoenix Suns,2009-11-29
102,106,Toronto Raptors,Washington Wizards,2009-12-01
146,115,Atlanta Hawks,Toronto Raptors,2009-12-02
107,109,Washington Wizards,Toronto Raptors,2009-12-04
78,110,Chicago Bulls,Toronto Raptors,2009-12-05
94,88,Toronto Raptors,Minnesota Timberwolves,2009-12-08
117,95,Milwaukee Bucks,Toronto Raptors,2009-12-09
89,111,Toronto Raptors,Atlanta Hawks,2009-12-11
101,88,Toronto Raptors,Houston Rockets,2009-12-13
115,95,Miami Heat,Toronto Raptors,2009-12-15
118,99,Orlando Magic,Toronto Raptors,2009-12-16
118,95,Toronto Raptors,New Jersey Nets,2009-12-18
98,92,Toronto Raptors,New Orleans Hornets,2009-12-20
64,94,Detroit Pistons,Toronto Raptors,2009-12-23
102,95,Toronto Raptors,Detroit Pistons,2009-12-27
107,103,Toronto Raptors,Charlotte Bobcats,2009-12-30
103,96,Boston Celtics,Toronto Raptors,2010-01-02
91,86,Toronto Raptors,San Antonio Spurs,2010-01-03
103,108,Orlando Magic,Toronto Raptors,2010-01-06
106,108,Philadelphia 76ers,Toronto Raptors,2010-01-08
107,114,Toronto Raptors,Boston Celtics,2010-01-10
105,101,Indiana Pacers,Toronto Raptors,2010-01-11
104,112,New York Knicks,Toronto Raptors,2010-01-15
110,88,Toronto Raptors,Dallas Mavericks,2010-01-17
108,100,Cleveland Cavaliers,Toronto Raptors,2010-01-19
113,107,Milwaukee Bucks,Toronto Raptors,2010-01-20
101,96,Toronto Raptors,Milwaukee Bucks,2010-01-22
106,105,Toronto Raptors,Los Angeles Lakers,2010-01-24
111,103,Toronto Raptors,Miami Heat,2010-01-27
104,106,New York Knicks,Toronto Raptors,2010-01-28
117,102,Toronto Raptors,Indiana Pacers,2010-01-31
130,115,Indiana Pacers,Toronto Raptors,2010-02-02
108,99,Toronto Raptors,New Jersey Nets,2010-02-03
115,104,Toronto Raptors,Sacramento Kings,2010-02-07
104,93,Toronto Raptors,Philadelphia 76ers,2010-02-10
102,109,Toronto Raptors,Memphis Grizzlies,2010-02-17
89,106,New Jersey Nets,Toronto Raptors,2010-02-19
109,104,Toronto Raptors,Washington Wizards,2010-02-20
87,101,Toronto Raptors,Portland Trail Blazers,2010-02-24
118,126,Toronto Raptors,Cleveland Cavaliers,2010-02-26
119,99,Oklahoma City Thunder,Toronto Raptors,2010-02-28
116,92,Houston Rockets,Toronto Raptors,2010-03-01
102,96,Toronto Raptors,New York Knicks,2010-03-05
101,114,Toronto Raptors,Philadelphia 76ers,2010-03-07
109,107,Los Angeles Lakers,Toronto Raptors,2010-03-09
113,90,Sacramento Kings,Toronto Raptors,2010-03-10
124,112,Golden State Warriors,Toronto Raptors,2010-03-13
109,98,Portland Trail Blazers,Toronto Raptors,2010-03-14
106,105,Toronto Raptors,Atlanta Hawks,2010-03-17
89,115,Toronto Raptors,Oklahoma City Thunder,2010-03-19
90,100,New Jersey Nets,Toronto Raptors,2010-03-20
100,106,Minnesota Timberwolves,Toronto Raptors,2010-03-22
87,113,Toronto Raptors,Utah Jazz,2010-03-24
96,97,Toronto Raptors,Denver Nuggets,2010-03-26
97,94,Miami Heat,Toronto Raptors,2010-03-28
101,103,Charlotte Bobcats,Toronto Raptors,2010-03-29
114,92,Toronto Raptors,Los Angeles Clippers,2010-03-31
123,128,Philadelphia 76ers,Toronto Raptors,2010-04-03
112,113,Toronto Raptors,Golden State Warriors,2010-04-04
113,101,Cleveland Cavaliers,Toronto Raptors,2010-04-06
104,115,Toronto Raptors,Boston Celtics,2010-04-07
107,101,Atlanta Hawks,Toronto Raptors,2010-04-09
88,104,Toronto Raptors,Chicago Bulls,2010-04-11
97,111,Detroit Pistons,Toronto Raptors,2010-04-12
131,113,Toronto Raptors,New York Knicks,2010-04-14
93,98,Toronto Raptors,New York Knicks,2010-10-27
101,81,Toronto Raptors,Cleveland Cavaliers,2010-10-29
111,108,Sacramento Kings,Toronto Raptors,2010-11-01
125,108,Utah Jazz,Toronto Raptors,2010-11-03
108,103,Los Angeles Lakers,Toronto Raptors,2010-11-05
97,84,Portland Trail Blazers,Toronto Raptors,2010-11-06
102,109,Toronto Raptors,Golden State Warriors,2010-11-08
96,101,Toronto Raptors,Charlotte Bobcats,2010-11-10
106,110,Orlando Magic,Toronto Raptors,2010-11-12
109,100,Miami Heat,Toronto Raptors,2010-11-13
109,94,Washington Wizards,Toronto Raptors,2010-11-16
86,94,Philadelphia 76ers,Toronto Raptors,2010-11-17
106,96,Toronto Raptors,Houston Rockets,2010-11-19
102,101,Toronto Raptors,Boston Celtics,2010-11-21
106,90,Toronto Raptors,Philadelphia 76ers,2010-11-24
110,101,Boston Celtics,Toronto Raptors,2010-11-26
78,96,Toronto Raptors,Atlanta Hawks,2010-11-28
127,108,Toronto Raptors,Washington Wizards,2010-12-01
111,99,Toronto Raptors,Oklahoma City Thunder,2010-12-03
99,116,Toronto Raptors,New York Knicks,2010-12-05
124,100,Indiana Pacers,Toronto Raptors,2010-12-06
113,110,New York Knicks,Toronto Raptors,2010-12-08
116,123,Toronto Raptors,Denver Nuggets,2010-12-10
116,120,Detroit Pistons,Toronto Raptors,2010-12-11
97,91,Charlotte Bobcats,Toronto Raptors,2010-12-14
93,110,Toronto Raptors,Chicago Bulls,2010-12-15
98,92,Toronto Raptors,New Jersey Nets,2010-12-17
110,120,Toronto Raptors,Los Angeles Lakers,2010-12-19
93,115,Toronto Raptors,Detroit Pistons,2010-12-22
96,85,Memphis Grizzlies,Toronto Raptors,2010-12-27
76,84,Dallas Mavericks,Toronto Raptors,2010-12-28
114,105,Houston Rockets,Toronto Raptors,2010-12-31
79,93,Toronto Raptors,Boston Celtics,2011-01-02
111,91,Chicago Bulls,Toronto Raptors,2011-01-04
105,120,Cleveland Cavaliers,Toronto Raptors,2011-01-05
122,102,Boston Celtics,Toronto Raptors,2011-01-07
118,112,Toronto Raptors,Sacramento Kings,2011-01-09
101,104,Toronto Raptors,Atlanta Hawks,2011-01-12
95,101,Toronto Raptors,Detroit Pistons,2011-01-14
98,95,Washington Wizards,Toronto Raptors,2011-01-15
85,81,New Orleans Hornets,Toronto Raptors,2011-01-17
104,95,San Antonio Spurs,Toronto Raptors,2011-01-19
112,72,Orlando Magic,Toronto Raptors,2011-01-21
120,103,Miami Heat,Toronto Raptors,2011-01-22
98,100,Toronto Raptors,Memphis Grizzlies,2011-01-24
94,107,Toronto Raptors,Philadelphia 76ers,2011-01-26
110,116,Toronto Raptors,Milwaukee Bucks,2011-01-28
103,87,Minnesota Timberwolves,Toronto Raptors,2011-01-29
104,93,Indiana Pacers,Toronto Raptors,2011-01-31
100,87,Atlanta Hawks,Toronto Raptors,2011-02-02
111,100,Toronto Raptors,Minnesota Timberwolves,2011-02-04
92,74,Milwaukee Bucks,Toronto Raptors,2011-02-08
100,111,Toronto Raptors,San Antonio Spurs,2011-02-09
96,102,Toronto Raptors,Portland Trail Blazers,2011-02-11
98,93,Toronto Raptors,Los Angeles Clippers,2011-02-13
95,103,Toronto Raptors,Miami Heat,2011-02-16
114,101,Charlotte Bobcats,Toronto Raptors,2011-02-22
118,113,Toronto Raptors,Chicago Bulls,2011-02-23
92,110,Toronto Raptors,Phoenix Suns,2011-02-25
96,114,Toronto Raptors,Dallas Mavericks,2011-02-27
96,90,Toronto Raptors,New Orleans Hornets,2011-03-01
116,103,New Jersey Nets,Toronto Raptors,2011-03-04
137,136,New Jersey Nets,Toronto Raptors,2011-03-05
94,96,Toronto Raptors,Utah Jazz,2011-03-09
108,98,Toronto Raptors,Indiana Pacers,2011-03-11
90,95,Toronto Raptors,Charlotte Bobcats,2011-03-13
107,93,Detroit Pistons,Toronto Raptors,2011-03-16
116,107,Toronto Raptors,Washington Wizards,2011-03-18
93,95,Oklahoma City Thunder,Toronto Raptors,2011-03-20
123,90,Denver Nuggets,Toronto Raptors,2011-03-21
114,106,Phoenix Suns,Toronto Raptors,2011-03-23
138,100,Golden State Warriors,Toronto Raptors,2011-03-25
94,90,Los Angeles Clippers,Toronto Raptors,2011-03-26
98,104,Toronto Raptors,Milwaukee Bucks,2011-03-30
113,106,Chicago Bulls,Toronto Raptors,2011-04-02
102,98,Toronto Raptors,Orlando Magic,2011-04-03
131,118,New York Knicks,Toronto Raptors,2011-04-05
96,104,Toronto Raptors,Cleveland Cavaliers,2011-04-06
98,93,Philadelphia 76ers,Toronto Raptors,2011-04-08
99,92,Toronto Raptors,New Jersey Nets,2011-04-10
93,86,Milwaukee Bucks,Toronto Raptors,2011-04-11
79,97,Toronto Raptors,Miami Heat,2011-04-13
96,104,Cleveland Cavaliers,Toronto Raptors,2011-12-26
85,90,Toronto Raptors,Indiana Pacers,2011-12-28
99,86,Dallas Mavericks,Toronto Raptors,2011-12-30
102,96,Orlando Magic,Toronto Raptors,2012-01-01
85,90,New York Knicks,Toronto Raptors,2012-01-02
92,77,Toronto Raptors,Cleveland Cavaliers,2012-01-04
85,97,Toronto Raptors,New Jersey Nets,2012-01-06
97,62,Philadelphia 76ers,Toronto Raptors,2012-01-07
97,87,Toronto Raptors,Minnesota Timberwolves,2012-01-09
93,78,Washington Wizards,Toronto Raptors,2012-01-10
91,98,Toronto Raptors,Sacramento Kings,2012-01-11
90,95,Toronto Raptors,Indiana Pacers,2012-01-13
77,64,Chicago Bulls,Toronto Raptors,2012-01-14
93,84,Atlanta Hawks,Toronto Raptors,2012-01-16
96,73,Boston Celtics,Toronto Raptors,2012-01-18
84,94,Toronto Raptors,Portland Trail Blazers,2012-01-20
103,91,Los Angeles Clippers,Toronto Raptors,2012-01-22
96,99,Phoenix Suns,Toronto Raptors,2012-01-24
106,111,Utah Jazz,Toronto Raptors,2012-01-25
96,81,Denver Nuggets,Toronto Raptors,2012-01-27
73,94,New Jersey Nets,Toronto Raptors,2012-01-29
77,100,Toronto Raptors,Atlanta Hawks,2012-01-31
100,64,Boston Celtics,Toronto Raptors,2012-02-01
106,89,Toronto Raptors,Washington Wizards,2012-02-03
95,89,Miami Heat,Toronto Raptors,2012-02-05
111,108,Washington Wizards,Toronto Raptors,2012-02-06
99,105,Toronto Raptors,Milwaukee Bucks,2012-02-08
86,74,Toronto Raptors,Boston Celtics,2012-02-10
92,94,Toronto Raptors,Los Angeles Lakers,2012-02-12
87,90,Toronto Raptors,New York Knicks,2012-02-14
106,113,Toronto Raptors,San Antonio Spurs,2012-02-15
91,98,Toronto Raptors,Charlotte Bobcats,2012-02-17
103,93,Toronto Raptors,Detroit Pistons,2012-02-22
88,85,Houston Rockets,Toronto Raptors,2012-02-28
84,95,New Orleans Hornets,Toronto Raptors,2012-02-29
99,102,Toronto Raptors,Memphis Grizzlies,2012-03-02
83,75,Toronto Raptors,Golden State Warriors,2012-03-04
88,92,Toronto Raptors,Orlando Magic,2012-03-05
116,98,Toronto Raptors,Houston Rockets,2012-03-07
105,86,Detroit Pistons,Toronto Raptors,2012-03-10
99,105,Toronto Raptors,Milwaukee Bucks,2012-03-11
88,96,Cleveland Cavaliers,Toronto Raptors,2012-03-13
98,84,New Jersey Nets,Toronto Raptors,2012-03-14
110,114,Memphis Grizzlies,Toronto Raptors,2012-03-16
107,103,Charlotte Bobcats,Toronto Raptors,2012-03-17
106,87,New York Knicks,Toronto Raptors,2012-03-20
82,94,Toronto Raptors,Chicago Bulls,2012-03-21
96,79,Toronto Raptors,New York Knicks,2012-03-23
102,101,Chicago Bulls,Toronto Raptors,2012-03-24
101,117,Toronto Raptors,Orlando Magic,2012-03-26
105,96,Toronto Raptors,Denver Nuggets,2012-03-28
101,113,Toronto Raptors,Miami Heat,2012-03-30
99,92,Toronto Raptors,Washington Wizards,2012-04-01
92,87,Toronto Raptors,Charlotte Bobcats,2012-04-03
78,99,Philadelphia 76ers,Toronto Raptors,2012-04-04
80,84,Toronto Raptors,Cleveland Cavaliers,2012-04-06
91,75,Oklahoma City Thunder,Toronto Raptors,2012-04-08
103,98,Indiana Pacers,Toronto Raptors,2012-04-09
75,93,Toronto Raptors,Philadelphia 76ers,2012-04-11
84,79,Toronto Raptors,Boston Celtics,2012-04-13
86,102,Atlanta Hawks,Toronto Raptors,2012-04-15
87,109,Toronto Raptors,Atlanta Hawks,2012-04-16
96,72,Miami Heat,Toronto Raptors,2012-04-18
76,73,Detroit Pistons,Toronto Raptors,2012-04-22
92,86,Milwaukee Bucks,Toronto Raptors,2012-04-23
98,67,Toronto Raptors,New Jersey Nets,2012-04-26
88,90,Toronto Raptors,Indiana Pacers,2012-10-31
107,100,Brooklyn Nets,Toronto Raptors,2012-11-03
