PLUS_MINUS_HOME,PLUS_MINUS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY
10,-10,New York Knicks,Toronto Raptors
-7,7,Toronto Raptors,Washington Wizards
8,-8,Toronto Raptors,Milwaukee Bucks
15,-15,Toronto Raptors,Vancouver Grizzlies
26,-26,Detroit Pistons,Toronto Raptors
20,-20,Indiana Pacers,Toronto Raptors
10,-10,Toronto Raptors,Minnesota Timberwolves
-2,2,Toronto Raptors,Chicago Bulls
3,-3,Charlotte Hornets,Toronto Raptors
-9,9,Atlanta Hawks,Toronto Raptors
-5,5,Toronto Raptors,Orlando Magic
13,-13,Toronto Raptors,Boston Celtics
10,-10,Miami Heat,Toronto Raptors
11,-11,Atlanta Hawks,Toronto Raptors
7,-7,Toronto Raptors,Charlotte Hornets
15,-15,Toronto Raptors,New Jersey Nets
-2,2,Detroit Pistons,Toronto Raptors
11,-11,Toronto Raptors,Los Angeles Clippers
4,-4,Toronto Raptors,New York Knicks
19,-19,New Jersey Nets,Toronto Raptors
-23,23,Chicago Bulls,Toronto Raptors
9,-9,Houston Rockets,Toronto Raptors
-2,2,San Antonio Spurs,Toronto Raptors
13,-13,Toronto Raptors,Chicago Bulls
-10,10,Cleveland Cavaliers,Toronto Raptors
1,-1,Toronto Raptors,Indiana Pacers
2,-2,Toronto Raptors,Washington Wizards
15,-15,Toronto Raptors,Philadelphia 76ers
-22,22,Toronto Raptors,Miami Heat
-12,12,Toronto Raptors,Boston Celtics
7,-7,New Jersey Nets,Toronto Raptors
-10,10,Toronto Raptors,Indiana Pacers
18,-18,Philadelphia 76ers,Toronto Raptors
-1,1,Toronto Raptors,Cleveland Cavaliers
-3,3,New York Knicks,Toronto Raptors
18,-18,Toronto Raptors,Orlando Magic
-22,22,Toronto Raptors,Atlanta Hawks
-16,16,Washington Wizards,Toronto Raptors
-7,7,Orlando Magic,Toronto Raptors
-8,8,Toronto Raptors,Detroit Pistons
-10,10,Toronto Raptors,Charlotte Hornets
13,-13,Milwaukee Bucks,Toronto Raptors
8,-8,Cleveland Cavaliers,Toronto Raptors
7,-7,Philadelphia 76ers,Toronto Raptors
13,-13,Milwaukee Bucks,Toronto Raptors
9,-9,Toronto Raptors,Cleveland Cavaliers
-13,13,Toronto Raptors,Boston Celtics
11,-11,Toronto Raptors,Miami Heat
-20,20,New Jersey Nets,Toronto Raptors
10,-10,Toronto Raptors,Charlotte Hornets
-17,17,Detroit Pistons,Toronto Raptors
-3,3,Toronto Raptors,Philadelphia 76ers
4,-4,Toronto Raptors,Detroit Pistons
11,-11,Washington Wizards,Toronto Raptors
6,-6,Toronto Raptors,Los Angeles Clippers
-9,9,Los Angeles Lakers,Toronto Raptors
1,-1,Phoenix Suns,Toronto Raptors
25,-25,Denver Nuggets,Toronto Raptors
-13,13,Utah Jazz,Toronto Raptors
-18,18,Golden State Warriors,Toronto Raptors
-18,18,Toronto Raptors,Atlanta Hawks
2,-2,Toronto Raptors,Washington Wizards
6,-6,Toronto Raptors,San Antonio Spurs
3,-3,Toronto Raptors,Cleveland Cavaliers
-16,16,Toronto Raptors,Milwaukee Bucks
-15,15,Toronto Raptors,Utah Jazz
8,-8,Toronto Raptors,Indiana Pacers
2,-2,Philadelphia 76ers,Toronto Raptors
14,-14,Orlando Magic,Toronto Raptors
-6,6,Toronto Raptors,Los Angeles Lakers
29,-29,Toronto Raptors,New Jersey Nets
1,-1,New York Knicks,Toronto Raptors
-3,3,Cleveland Cavaliers,Toronto Raptors
-1,1,Houston Rockets,Toronto Raptors
-5,5,Dallas Mavericks,Toronto Raptors
-24,24,Toronto Raptors,Portland Trail Blazers
12,-12,Toronto Raptors,Sacramento Kings
8,-8,Atlanta Hawks,Toronto Raptors
-10,10,Toronto Raptors,Vancouver Grizzlies
28,-28,Washington Wizards,Toronto Raptors
6,-6,Toronto Raptors,Orlando Magic
5,-5,Toronto Raptors,Milwaukee Bucks
21,-21,Milwaukee Bucks,Toronto Raptors
21,-21,Charlotte Hornets,Toronto Raptors
4,-4,Boston Celtics,Toronto Raptors
17,-17,Toronto Raptors,Seattle SuperSonics
15,-15,Toronto Raptors,Washington Wizards
15,-15,Toronto Raptors,Miami Heat
-17,17,Chicago Bulls,Toronto Raptors
17,-17,San Antonio Spurs,Toronto Raptors
-3,3,Milwaukee Bucks,Toronto Raptors
21,-21,Toronto Raptors,Atlanta Hawks
7,-7,Detroit Pistons,Toronto Raptors
21,-21,Toronto Raptors,New York Knicks
8,-8,Indiana Pacers,Toronto Raptors
-4,4,Toronto Raptors,Denver Nuggets
-4,4,Toronto Raptors,Dallas Mavericks
-11,11,New York Knicks,Toronto Raptors
-22,22,Toronto Raptors,Minnesota Timberwolves
1,-1,Toronto Raptors,Phoenix Suns
7,-7,Toronto Raptors,Chicago Bulls
-2,2,Boston Celtics,Toronto Raptors
10,-10,Toronto Raptors,Boston Celtics
-2,2,Vancouver Grizzlies,Toronto Raptors
-19,19,Portland Trail Blazers,Toronto Raptors
-1,1,Los Angeles Clippers,Toronto Raptors
15,-15,Sacramento Kings,Toronto Raptors
-2,2,Seattle SuperSonics,Toronto Raptors
7,-7,Toronto Raptors,Golden State Warriors
4,-4,Toronto Raptors,Orlando Magic
2,-2,Toronto Raptors,Houston Rockets
-7,7,Toronto Raptors,New Jersey Nets
13,-13,Philadelphia 76ers,Toronto Raptors
-18,18,Toronto Raptors,Charlotte Hornets
5,-5,Minnesota Timberwolves,Toronto Raptors
-3,3,Cleveland Cavaliers,Toronto Raptors
4,-4,New Jersey Nets,Toronto Raptors
9,-9,Charlotte Hornets,Toronto Raptors
-21,21,Toronto Raptors,Indiana Pacers
-16,16,Toronto Raptors,Detroit Pistons
-20,20,Atlanta Hawks,Toronto Raptors
-19,19,Chicago Bulls,Toronto Raptors
9,-9,Toronto Raptors,Cleveland Cavaliers
4,-4,Indiana Pacers,Toronto Raptors
15,-15,Toronto Raptors,New York Knicks
1,-1,Toronto Raptors,Chicago Bulls
24,-24,Miami Heat,Toronto Raptors
6,-6,Orlando Magic,Toronto Raptors
-9,9,Toronto Raptors,Detroit Pistons
6,-6,Philadelphia 76ers,Toronto Raptors
2,-2,Boston Celtics,Toronto Raptors
7,-7,Toronto Raptors,Washington Wizards
30,-30,Toronto Raptors,Boston Celtics
27,-27,Toronto Raptors,Cleveland Cavaliers
-23,23,Chicago Bulls,Toronto Raptors
-6,6,Toronto Raptors,Portland Trail Blazers
9,-9,Toronto Raptors,Milwaukee Bucks
-36,36,Toronto Raptors,Charlotte Hornets
-20,20,Indiana Pacers,Toronto Raptors
-4,4,New York Knicks,Toronto Raptors
12,-12,Toronto Raptors,Chicago Bulls
14,-14,Dallas Mavericks,Toronto Raptors
24,-24,Charlotte Hornets,Toronto Raptors
9,-9,Toronto Raptors,Los Angeles Clippers
14,-14,Utah Jazz,Toronto Raptors
7,-7,Portland Trail Blazers,Toronto Raptors
-16,16,Golden State Warriors,Toronto Raptors
-8,8,Toronto Raptors,Phoenix Suns
14,-14,Toronto Raptors,Indiana Pacers
2,-2,Toronto Raptors,New York Knicks
7,-7,Milwaukee Bucks,Toronto Raptors
-3,3,Toronto Raptors,Los Angeles Lakers
8,-8,Toronto Raptors,Utah Jazz
-1,1,Indiana Pacers,Toronto Raptors
-6,6,Toronto Raptors,Atlanta Hawks
3,-3,Minnesota Timberwolves,Toronto Raptors
-1,1,Denver Nuggets,Toronto Raptors
6,-6,Phoenix Suns,Toronto Raptors
13,-13,Los Angeles Clippers,Toronto Raptors
-10,10,Toronto Raptors,Dallas Mavericks
2,-2,Toronto Raptors,Seattle SuperSonics
-19,19,Toronto Raptors,Houston Rockets
-25,25,Detroit Pistons,Toronto Raptors
-21,21,Boston Celtics,Toronto Raptors
8,-8,Toronto Raptors,Charlotte Hornets
15,-15,Houston Rockets,Toronto Raptors
-7,7,San Antonio Spurs,Toronto Raptors
22,-22,Toronto Raptors,Washington Wizards
-4,4,Philadelphia 76ers,Toronto Raptors
5,-5,Orlando Magic,Toronto Raptors
20,-20,Miami Heat,Toronto Raptors
